地区,地区生产总值(亿元),一般预算收入(亿元),商品房平均销售价格(元/平方米),颗粒物排放量(万吨),每十万人高校在校生数,医疗卫生机构床位数(万张)
北京市,41610.9,5714.36,38240,0.41,5397,13.39
天津市,16311.3,1846.69,15572,0.9,5428,6.85
河北省,42370.4,4056.3,8021,23.65,3070,48.57
山西省,25642.6,3453.99,6713,26.63,3388,22.84
内蒙古自治区,23158.6,2824.39,6288,99.3,2493,16.77
辽宁省,28975.1,2525.07,8315,21.77,3931,32.62
吉林省,13070.2,851,6955,16.61,4989,17.72
黑龙江省,15901,1290.66,6152,34.76,3734,26.13
上海市,44652.8,7608,40302,0.83,3756,16.53
江苏省,122875.6,9258.88,12226,9.09,3726,56.3
浙江省,77715.4,8039.85,18576,6.61,2763,38.17
安徽省,45045,3589.14,7637,9.73,3283,44.4
福建省,53109.9,3339.21,10771,7.98,3277,23.24
江西省,32074.7,2948.33,7318,10.68,4423,31.45
山东省,87435.1,7104.1,8393,19.11,3663,69.36
河南省,61345.1,4250.35,6133,6.96,3652,75.22
湖北省,53734.9,3281.13,8553,12.7,4110,45.03
湖南省,48670.4,3101.76,6372,12.89,3738,54.45
广东省,129118.6,13260.88,14985,13.4,3129,60.83
广西壮族自治区,26300.9,1687.72,5473,7.11,3651,34.17
海南省,6818.2,832.43,17050,0.75,2999,6.12
重庆市,29129,2103.42,7132,4.98,3838,25.08
四川省,56749.8,4880.55,8153,15.19,3127,68.39
贵州省,20164.6,1886.41,5799,9.26,2608,30.97
云南省,28954.2,1949.46,6804,24.43,3097,34.12
西藏自治区,2132.6,179.63,8510,0.73,1666,2
陕西省,32772.7,3311.57,9884,21.08,4409,28.96
甘肃省,11201.6,907.65,5682,12.14,3215,18.89
青海省,3610.1,329.1,7093,4.99,1738,4.29
宁夏回族自治区,5069.6,460.15,7016,5.83,3271,4.18
新疆维吾尔自治区,17741.3,1889.76,5827,52.9,2773,17.96
